country,code,year,trade_openness,gdp_per_capita,population,labour_productivity,schooling,democracy,region,urban_pct,life_expectancy,log_gdp_pc,log_population,log_productivity
Croatia,HRV,2019,101.39477,33419.375,3986338,38.796227,12.03,0.742,Europe,56.30325,78.197,10.416891100598091,15.198383572948593,3.658322999632851
Cuba,CUB,2019,22.82089,NA,11202847,NA,11.61,0.181,North America,77.07282,77.4133,NA,16.231678500391457,NA
Cyprus,CYP,2019,150.50616,43249.793,1286669,48.435753,12.42,0.84,Europe,66.76774,81.4543,10.674747726221405,14.067567266242762,3.880238239366358
Czechia,CZE,2019,138.15462,47763.617,10554872,49.792152,12.93,0.808,Europe,72.78764,79.1853,10.774019478029718,16.172098112236977,3.9078573812504955
Democratic Republic of Congo,COD,2019,60.914352,1394.7646,92947450,1.805877,4.85,0.346,Africa,42.87471,60.2425,7.240480934496626,18.347544837651046,0.5910463463631611
Denmark,DNK,2019,111.89147,67131.47,5814618,85.80067,11.69,0.917,Europe,88.20965,81.4343,11.114408214503262,15.575885649601668,4.452026815321236
Djibouti,DJI,2019,320.93924,5809.3047,1088710,NA,NA,0.252,Africa,71.74181,64.3809,8.66721616970695,13.90050406709392,NA
Dominican Republic,DOM,2019,50.912983,21451.287,10894043,20.977322,9.04,0.541,North America,73.540344,73.1119,9.973539922556235,16.203726684044828,3.0434419494442375
East Timor,TLS,2019,70.61424,5103.1494,1300946,NA,NA,0.699,Asia,29.114876,66.4964,8.537613157531355,14.078602250099786,NA
Ecuador,ECU,2019,48.082848,13870.489,17340017,18.040695,9.07,0.618,South America,63.062714,77.2862,9.53751876863549,16.668527509708348,2.892630039391281
Egypt,EGY,2019,41.124016,15026.568,107553159,25.790623,8.01,0.174,Africa,42.4812,71.2128,9.617575113359344,18.49349578563159,3.2500109762513505
El Salvador,SLV,2019,76.042015,10543.938,6222316,NA,8.1,0.594,North America,72.414894,71.7253,9.263306376603605,15.643652742678203,NA
Equatorial Guinea,GNQ,2019,94.87879,18446.592,1670184,NA,NA,0.179,Africa,70.11754,62.2965,9.822634916959519,14.328444357964326,NA
Estonia,EST,2019,140.35214,42218.96,1326822,47.559307,12.29,0.898,Europe,69.57874,78.7728,10.650624688223504,14.098297167165683,3.8619775006482975
Eswatini,SWZ,2019,86.64079,10099.586,1179885,NA,6.46,0.135,Africa,24.345955,59.8496,9.220249711890224,13.980927534065426,NA
Ethiopia,ETH,2019,28.815294,2437.9705,115737384,3.4065216,NA,0.335,Africa,21.24867,65.7413,7.798921209885976,18.566834251469874,1.2256917120305053
Faroe Islands,FRO,2019,108.623245,68134.03,51868,NA,NA,NA,NA,38.394566,79.9058,11.129232073640225,10.856457308668775,NA
Finland,FIN,2019,80.56415,56922.49,5521754,69.871284,11.05,0.88,Europe,72.74312,81.8643,10.949445796854848,15.524206121403475,4.246654749381335
France,FRA,2019,66.42898,53448.555,65729460,80.23372,11.89,0.867,Europe,78.68908,82.7304,10.886474881475962,18.001057784779267,4.384943875386412
French Polynesia,PYF,2019,63.306114,NA,279040,NA,NA,NA,NA,61.782413,83.1955,NA,12.539110419702752,NA
Gabon,GAB,2019,73.42809,19491.406,2267711,29.801157,10.18,0.382,Africa,89.90318,67.3369,9.877728929458423,14.634281510666428,3.394547218261024
Gambia,GMB,2019,55.997913,2750.8213,2456847,NA,4.92,0.526,Africa,61.64321,64.4275,7.91965480061768,14.714389378502123,NA
Georgia,GEO,2019,117.81008,18186.88,3796722,38.052338,NA,0.625,Asia,58.63041,74.1649,9.808455733985713,15.149648620836937,3.6389625278864908
Germany,DEU,2019,79.07324,62849.375,83559184,81.118675,13.1,0.882,Europe,81.3054,81.1893,11.048496269657095,18.241065729166948,4.395913205883045
Ghana,GHA,2019,76.82481,6508.2466,31258943,8.805693,8.39,0.722,Africa,55.72463,64.4554,8.780825359446498,17.257816069206143,2.1753984441321617
Greece,GRC,2019,80.590096,33502.75,10718581,35.219307,11.86,0.864,Europe,78.18881,81.3487,10.419382803996234,16.187489335442343,3.561594426554206
Greenland,GRL,2019,92.19075,68534.945,56109,NA,NA,NA,NA,87.02179,70.2573,11.135099040155493,10.93505150645111,NA
Guam,GUM,2019,78.064514,NA,161819,NA,NA,NA,NA,94.07998,76.6453,NA,11.99423370563689,NA
Guatemala,GTM,2019,45.516735,11466.377,17103803,11.980206,6.26,0.604,North America,54.18823,71.6394,9.347174292746393,16.654811394407012,2.483255787865008
Guinea,GIN,2019,78.41531,3557.4624,13034349,NA,NA,0.353,Africa,36.128155,59.3785,8.176802760688195,16.383098661639973,NA
Guinea-Bissau,GNB,2019,49.943512,2442.1067,1967704,NA,NA,0.531,Africa,43.874557,62.1612,7.800616347409802,14.492377938778079,NA
Haiti,HTI,2019,44.568718,3392.4326,11105165,NA,5.95,0.403,North America,52.006905,64.3281,8.129302524157207,16.222920873372278,NA
Honduras,HND,2019,99.45998,6264.019,9943637,NA,7.51,0.368,North America,56.379158,72.1238,8.742577270871658,16.112443407081603,NA
Hong Kong,HKG,2019,353.74353,65388.332,7485817,50.8363,12.83,0.301,Asia,100,85.2632,11.088099111742439,15.828520721515867,3.9286106663321774
Hungary,HUN,2019,159.92555,37662.676,9770346,40.447044,11.96,0.471,Europe,70.45653,76.4546,10.536424856510944,16.094862437926174,3.6999935629602643
Iceland,ISL,2019,83.792366,64826.434,360709,69.40397,13.53,0.857,Europe,93.97708,82.8474,11.079468731257453,12.795826818063574,4.239944070487589
India,IND,2019,39.905403,7930.0913,1389030307,7.462654,7.8,0.431,Asia,33.813957,70.7463,8.978419827803474,21.051871719775036,2.0099111150217035
Indonesia,IDN,2019,37.627777,12757.785,272489381,13.153089,9.06,0.602,Asia,55.738205,70.3491,9.453896952488714,19.42311020250093,2.576656635980893
Iran,IRN,2019,48.59177,14841.075,87051649,21.21639,9.8,0.182,Asia,75.20389,76.8549,9.605153953450868,18.282012167135182,3.0547739961874396
Iraq,IRQ,2019,68.98994,14910.225,41192172,36.41617,8.27,0.391,Asia,69.86834,71.2452,9.609802498188182,17.533758796267467,3.5950129067706493
Ireland,IRL,2019,257.65277,96371.29,4933493,141.34389,13.74,0.892,Europe,63.2737,82.4108,11.47596361466422,15.411557814407368,4.951195857170662
Israel,ISR,2019,56.325348,44580.81,8657466,42.248512,12.04,0.714,Asia,91.6154,82.9048,10.705058776357568,15.973932628020277,3.7435691342480704
Italy,ITA,2019,58.69419,49690.63,60130136,65.8622,11.51,0.86,Europe,69.505005,83.3423,10.813571663123358,17.912021704779367,4.187564680581018
Japan,JPN,2019,35.21642,44730.91,126699421,48.807823,12.83,0.838,Asia,91.71642,84.4177,10.708420040507901,18.657328075430886,3.887890607388296
Jordan,JOR,2019,85.687836,9288.527,10671893,18.61745,10.81,0.261,Asia,91.51597,76.8645,9.136535261647495,16.183124020850396,2.924099312953831
Kazakhstan,KAZ,2019,64.85862,33298.21,19209556,34.4494,11.79,0.236,Asia,59.08325,73.6581,10.413258920769996,16.77091842151563,3.539491580762279
Kenya,KEN,2019,31.759462,5171.7124,51202829,7.109526,6.73,0.497,Africa,31.189556,62.9391,8.55095913123038,17.751305342389546,1.9614355749261618
Kiribati,KIR,2019,98.31404,2927.4846,123928,NA,NA,NA,NA,56.28467,65.8663,7.981898834996891,11.727456030786199,NA
Kuwait,KWT,2019,91.685715,51380.645,4442201,45.809654,6.62,0.324,Asia,100,80.0223,10.84701682410785,15.306660532300203,3.824494854934087
Kyrgyzstan,KGZ,2019,94.43028,6087.602,6494036,8.824071,11.18,0.446,Asia,34.88052,70.8907,8.714009522897289,15.686394775208251,2.1774833281563644
Latvia,LVA,2019,125.29163,35208.195,1914267,40.054237,11.96,0.835,Europe,68.06632,75.6278,10.469034146989564,14.464845339698638,3.69023446067776
Lebanon,LBN,2019,62.980915,15659.566,5794601,32.321648,NA,0.427,Asia,89.49867,78.2079,9.65883725523994,15.572437179926533,3.475737222451954
Lesotho,LSO,2019,140.51663,2773.2864,2209414,NA,6.88,0.627,Africa,38.60409,55.2493,7.927788321927024,14.608237879962198,NA
Libya,LBY,2019,78.99397,14337.196,6951040,NA,9.57,0.265,Africa,87.822014,72.9412,9.570612558074213,15.754401846633753,NA
Lithuania,LTU,2019,148.375,43062.324,2795057,45.11943,12.5,0.818,Europe,67.245735,76.4245,10.670403740664934,14.84336305792332,3.8093129741312834
Luxembourg,LUX,2019,382.66077,132724.75,620167,89.14583,11.53,0.876,Europe,93.25899,81.5879,11.796032713856201,13.337744075590482,4.490273568117011
Macao,MAC,2019,115.2313,133453.89,670982,NA,10.97,NA,NA,100,83.2927,11.801511303902025,13.416497589960622,NA
Madagascar,MDG,2019,62.601322,1707.8315,28219559,1.8394303,NA,0.494,Africa,30.304697,63.5039,7.442979716086164,17.155525877052096,0.6094559041136433
Malawi,MWI,2019,44.195454,1687.2894,19025748,3.2968793,5.41,0.476,Africa,16.138374,64.995,7.430878614958517,16.76130377762771,1.1929763543809468
