country,code,trade_openness,gdp_per_capita,population,urban_pct,democracy,region,log_gdp_pc,log_population
French Polynesia,PYF,63.306114,NA,279040,61.782413,NA,NA,NA,12.539110419702752
Gabon,GAB,73.42809,19491.406,2267711,89.90318,0.382,Africa,9.877728929458423,14.634281510666428
Gambia,GMB,55.997913,2750.8213,2456847,61.64321,0.526,Africa,7.91965480061768,14.714389378502123
Georgia,GEO,117.81008,18186.88,3796722,58.63041,0.625,Asia,9.808455733985713,15.149648620836937
Germany,DEU,79.07324,62849.375,83559184,81.3054,0.882,Europe,11.048496269657095,18.241065729166948
Ghana,GHA,76.82481,6508.2466,31258943,55.72463,0.722,Africa,8.780825359446498,17.257816069206143
Greece,GRC,80.590096,33502.75,10718581,78.18881,0.864,Europe,10.419382803996234,16.187489335442343
Greenland,GRL,92.19075,68534.945,56109,87.02179,NA,NA,11.135099040155493,10.93505150645111
Guam,GUM,78.064514,NA,161819,94.07998,NA,NA,NA,11.99423370563689
Guatemala,GTM,45.516735,11466.377,17103803,54.18823,0.604,North America,9.347174292746393,16.654811394407012
Guinea,GIN,78.41531,3557.4624,13034349,36.128155,0.353,Africa,8.176802760688195,16.383098661639973
Guinea-Bissau,GNB,49.943512,2442.1067,1967704,43.874557,0.531,Africa,7.800616347409802,14.492377938778079
Haiti,HTI,44.568718,3392.4326,11105165,52.006905,0.403,North America,8.129302524157207,16.222920873372278
Honduras,HND,99.45998,6264.019,9943637,56.379158,0.368,North America,8.742577270871658,16.112443407081603
Hong Kong,HKG,353.74353,65388.332,7485817,100,0.301,Asia,11.088099111742439,15.828520721515867
Hungary,HUN,159.92555,37662.676,9770346,70.45653,0.471,Europe,10.536424856510944,16.094862437926174
Iceland,ISL,83.792366,64826.434,360709,93.97708,0.857,Europe,11.079468731257453,12.795826818063574
India,IND,39.905403,7930.0913,1389030307,33.813957,0.431,Asia,8.978419827803474,21.051871719775036
Indonesia,IDN,37.627777,12757.785,272489381,55.738205,0.602,Asia,9.453896952488714,19.42311020250093
Iran,IRN,48.59177,14841.075,87051649,75.20389,0.182,Asia,9.605153953450868,18.282012167135182
Iraq,IRQ,68.98994,14910.225,41192172,69.86834,0.391,Asia,9.609802498188182,17.533758796267467
Ireland,IRL,257.65277,96371.29,4933493,63.2737,0.892,Europe,11.47596361466422,15.411557814407368
Israel,ISR,56.325348,44580.81,8657466,91.6154,0.714,Asia,10.705058776357568,15.973932628020277
Italy,ITA,58.69419,49690.63,60130136,69.505005,0.86,Europe,10.813571663123358,17.912021704779367
Japan,JPN,35.21642,44730.91,126699421,91.71642,0.838,Asia,10.708420040507901,18.657328075430886
Jordan,JOR,85.687836,9288.527,10671893,91.51597,0.261,Asia,9.136535261647495,16.183124020850396
Kazakhstan,KAZ,64.85862,33298.21,19209556,59.08325,0.236,Asia,10.413258920769996,16.77091842151563
Kenya,KEN,31.759462,5171.7124,51202829,31.189556,0.497,Africa,8.55095913123038,17.751305342389546
Kiribati,KIR,98.31404,2927.4846,123928,56.28467,NA,NA,7.981898834996891,11.727456030786199
Kuwait,KWT,91.685715,51380.645,4442201,100,0.324,Asia,10.84701682410785,15.306660532300203
Kyrgyzstan,KGZ,94.43028,6087.602,6494036,34.88052,0.446,Asia,8.714009522897289,15.686394775208251
Latvia,LVA,125.29163,35208.195,1914267,68.06632,0.835,Europe,10.469034146989564,14.464845339698638
Lebanon,LBN,62.980915,15659.566,5794601,89.49867,0.427,Asia,9.65883725523994,15.572437179926533
Lesotho,LSO,140.51663,2773.2864,2209414,38.60409,0.627,Africa,7.927788321927024,14.608237879962198
Libya,LBY,78.99397,14337.196,6951040,87.822014,0.265,Africa,9.570612558074213,15.754401846633753
Lithuania,LTU,148.375,43062.324,2795057,67.245735,0.818,Europe,10.670403740664934,14.84336305792332
Luxembourg,LUX,382.66077,132724.75,620167,93.25899,0.876,Europe,11.796032713856201,13.337744075590482
Macao,MAC,115.2313,133453.89,670982,100,NA,NA,11.801511303902025,13.416497589960622
Madagascar,MDG,62.601322,1707.8315,28219559,30.304697,0.494,Africa,7.442979716086164,17.155525877052096
Malawi,MWI,44.195454,1687.2894,19025748,16.138374,0.476,Africa,7.430878614958517,16.76130377762771
Malaysia,MYS,123.028564,31300.508,33440590,74.83777,0.472,Asia,10.351389606428487,17.3252809895658
Maldives,MDV,137.12523,21855.502,487737,40.04928,0.568,Asia,9.9922079766058,13.097531605131698
Mali,MLI,53.998714,2916.1716,21068405,28.352072,0.51,Africa,7.978026939133715,16.863285082867517
Malta,MLT,233.07043,50801.957,504017,94.933205,0.771,Europe,10.835690156446605,13.130365276643387
Marshall Islands,MHL,153.00774,6405.0757,44030,76.94227,NA,NA,8.764846033152484,10.6926264987498
Mauritania,MRT,93.486694,6162.2104,4467714,56.05962,0.404,Africa,8.726190823331889,15.312387426379392
Mauritius,MUS,127.9409,26047.975,1286269,39.25095,0.697,Africa,10.16769530903522,14.067256337644231
Mexico,MEX,77.461975,21704.186,125762978,78.35599,0.685,North America,9.985260424150923,18.64990956639025
Micronesia (country),FSM,95.68528,3940.2644,110293,22.359245,NA,NA,8.279003106639417,11.610895739945756
Moldova,MDA,87.63224,14621.24,3112561,40.77229,0.58,Europe,9.59023054502863,14.950956417956629
Mongolia,MNG,124.396515,15790.696,3232118,67.82773,0.653,Asia,9.667176184808973,14.988648207857644
Montenegro,MNE,110.01612,23392.812,611671,65.16868,0.461,Europe,10.060184074669332,13.323949835246268
Morocco,MAR,75.998116,8768.176,36210907,61.843044,0.258,Africa,9.078884081979037,17.404870929757312
Mozambique,MOZ,105.59117,1528.8899,29884378,33.417725,0.394,Africa,7.332297195488106,17.212846426906946
Namibia,NAM,82.90115,10813.305,2650499,48.00198,0.648,Africa,9.28853259933586,14.790258482122622
