country,code,trade_openness,gdp_per_capita,democracy,region
Russia,RUS,49.228752,37319.32,0.263,Europe
Rwanda,RWA,57.975662,2667.4646,0.228,Africa
Saudi Arabia,SAU,56.79382,62647.73,0.015,Asia
Senegal,SEN,64.23625,4070.6123,0.7,Africa
Serbia,SRB,107.57731,20496.438,0.363,Europe
Seychelles,SYC,173.40785,34346.07,0.614,Africa
Sierra Leone,SLE,37.561954,2852.6626,0.544,Africa
Singapore,SGP,324.395,120114.13,0.405,Asia
Slovakia,SVK,183.72261,37209.535,0.844,Europe
Slovenia,SVN,160.04428,44569.586,0.812,Europe
Solomon Islands,SLB,82.998566,2661.6167,0.63,Oceania
Somalia,SOM,70.29806,1491.2949,0.151,Africa
South Africa,ZAF,53.897995,14352.67,0.721,Africa
South Korea,KOR,71.44706,49790.867,0.852,Asia
Spain,ESP,66.36623,46896.418,0.872,Europe
Sri Lanka,LKA,49.425526,14637.444,0.558,Asia
Sudan,SDN,26.119621,3625.5232,0.199,Africa
Sweden,SWE,92.75114,61601.63,0.902,Europe
Switzerland,CHE,124.12761,79596.7,0.906,Europe
Syria,SYR,41.99947,4825.4062,0.137,Asia
Tajikistan,TJK,56.045017,3649.8838,0.166,Asia
Tanzania,TZA,33.01859,3484.6326,0.385,Africa
Thailand,THA,109.689514,21277.84,0.206,Asia
Togo,TGO,56.342175,2577.516,0.399,Africa
Tunisia,TUN,102.33261,13243.902,0.721,Africa
Turkey,TUR,62.57846,28741.053,0.293,Asia
Turkmenistan,TKM,44.28576,15231.306,0.149,Asia
Uganda,UGA,39.361053,2689.4102,0.3,Africa
Ukraine,UKR,90.51124,17636.555,0.525,Europe
United Arab Emirates,ARE,163.82216,72822.97,0.103,Asia
United Kingdom,GBR,65.00356,52515.684,0.855,Europe
United States,USA,26.45376,69112.6,0.812,North America
Uruguay,URY,49.744835,30010.574,0.898,South America
Uzbekistan,UZB,64.96392,8755.126,0.202,Asia
Vanuatu,VUT,99.382965,3512.072,0.772,Oceania
Vietnam,VNM,164.70421,11628.614,0.214,Asia
Zambia,ZMB,68.79121,3591.5642,0.36,Africa
Zimbabwe,ZWE,46.106544,4993.8438,0.292,Africa
